full_nomenclature,SMILES,short_name
(S)-N-(1-cyclohexylethyl)glycine,*N([C@@H](C)C1CCCCC1)CC(=O)*,Nsch
(R)-N-(1-cyclohexylethyl)glycine,*N([C@H](C)C1CCCCC1)CC(=O)*,Nrch
(S)-N-(2-butyl)glycine,*N([C@@H](C)CC)CC(=O)*,Nssb
(R)-N-(2-butyl)glycine,*N([C@H](C)CC)CC(=O)*,Nrsb
(S)-N-(1-phenylethyl)glycine,*N([C@@H](C)c1ccccc1)CC(=O)*,Nspe
(R)-N-(1-phenylethyl)glycine,*N([C@H](C)c1ccccc1)CC(=O)*,Nrpe
N-(phenylmethyl)glycine,*N(Cc1ccccc1)CC(=O)*,Npm
N-(methoxyethyl)glycine,*N(CCOC)CC(=O)*,Nme
N-(benzoxyethyl)glycine,*N(CCOc1ccccc1)CC(=O)*,
N-(phenyl)glycine,*N(c1ccccc1)CC(=O)*,Nph
N-(4-hydroxy-3-nitrophenyl)glycine,*N(c1cc(N(=O)=O)c(O)cc1)CC(=O)*,
N-(2-hydroxyphenyl)glycine,*N(c1c(O)cccc1)CC(=O)*,
N-(2-acetamidophenyl)glycine,*Nc1ccccc1N(C(=O)C)CC(=O)*,
N-hydroxyglycine,*N(O)CC(=O)*,
(S)-N-(1-phenylethyl)beta-alanine,*N([C@@H](C)c1ccccc1)CCC(=O)*,betaNspe
N-(benzoxyethyl)beta-alanine,*N(CCOc1ccccc1)CCC(=O)*,
N-(2-methylphenyl)glycine,*N(c1c(C)cccc1)CC(=O)*,
N-(2-iodophenyl)glycine,*N(c1c(I)cccc1)CC(=O)*,
N-(2-tert-butylphenyl)glycine,*N(c1c(C(C)(C)C)cccc1)CC(=O)*,
(S)-N-(1-naphthylethyl)glycine,*N([C@@H](C)c1cccc2ccccc21)CC(=O)*,Ns1npe
N-(1-naphthyl)glycine,*N(c1cccc2ccccc21)CC(=O)*,
N-(azidopropyl)glycine,*N(CCC[N-][N+]#N)CC(=O)*,
N-(propargyl)glycine,*N(CC#C)CC(=O)*,
Proline,*N1CCC[C@@H]1C(=O)*,Pro
Alanine,*N[C@@H](C)C(=O)*,Ala
"N-(2,6-dimethylphenyl)glycine",*N(c1c(C)cccc1(C))CC(=O)*,"N2,6mph"
"N-(3,5-dimethylphenyl)glycine",*N(c1cc(C)cc(C)c1)CC(=O)*,"N3,5mph"
N-(4-fluorophenyl)glycine,*N(c1ccc(F)cc1)CC(=O)*,N4fph
N-(tert-butyl)glycine,*N(C(C)(C)C)CC(=O)*,NtBu
N-(propargyl)beta-alanine,*N(CC#C)CCC(=O)*,betaNpa
(S)-N-(1-naphthylethyl)beta-alanine,*N([C@@H](C)c1cccc2ccccc21)CCC(=O)*,betaNs1npe
(R)-N-(1-naphthylethyl)glycine,*N([C@H](C)c1cccc2ccccc21)CC(=O)*,Nr1npe
N-allylglycine,*N(CC=C)CC(=O)*,
(S)-N-(1-tert-butylethyl)glycine,*N([C@@H](C)C(C)(C)C)CC(=O)*,Ns1tbe
N-isopropylglycine,*N(C(C)C)CC(=O)*,NVal
N-(phenyl)beta-alanine,*N(c1ccccc1)CCC(=O)*,betaNPh
N-carboxymethylglycine,*N(CC(=O)O)CC(=O)*,Ncm
N-(2-aminoethyl)glycine,*N(CCN)CC(=O)*,Nae
N-(2-hydroxyethyl)glycine,*N(CCO)CC(=O)*,Nhe
N-(2-carboxyethyl)glycine,*N(CCC(=O)O)CC(=O)*,Nce
N-(2-(N-trimethylammonium)ethyl)glycine,*N(CC[N+](C)(C)C)CC(=O)*,Nme3ae
N-(2-(methoxycarbonyl)phenyl)glycine,*N(c1c(C(=O)OC)cccc1)CC(=O)*,
N-(sec-butyl)glycine,*N(C(C(C)C))CC(=O)*,Nleu
"N-{2-[([2,2’-bipyridin]-6-yl)oxy]ethyl}glycine",*N(CCO(c1nc(ccc1)c2ncccc2))CC(=O)*,Nbp
N-(2-phenylethyl)glycine,*N(CCc1ccccc1)CC(=O)*,Npe
Sarcosine,*N(C)CC(=O)*,Sar
N-propylglycine,*N(CCC)CC(=O)*,
N-[2-(4-methoxyphenyl)ethyl]glycine,*N(CCc1ccc(OC)cc1)CC(=O)*,Nmpe
"N-(3,5-dimethoxyphenyl)glycine",*N(c1cc(OC)cc(OC)c1)CC(=O)*,Ndmp
(S)-N-[1-(4-methoxyphenyl)ethyl]glycine,*N([C@@H](C)c1ccc(OC)cc1)CC(=O)*,NSmpe
D-Alanine,*N[C@H](C)C(=O)*,DAla
(S)-N-[1-(1-naphthyl)pentyl]beta-alanine,*N([C@@H](CCCC)c1cccc2ccccc21)CCC(=O)*,
"N-[2-(N-benzyl-N,N-diethyl)ammonium]ethylglycine",*N(CC[N+](Cc1ccccc1)(CC)CC)CC(=O)*,Net2bnae
"N-[2-(N-propargyl-N,N-diethyl)ammonium]ethylglycine",*N(CC[N+](CC)(CC)CC#C)CC(=O)*,Net2prae
"N-[2-(N,N-disopropyl)ammonium]ethylglycine",*N(CC[N+](C(C)C)C(C)C)CC(=O)*,Nipg2ae
N-[2-(N-triethyl)ammonium]ethylglycine,*N(CC[N+](CC)(CC)CC)CC(=O)*,Net3ae
N-(4-isopropyl)phenylglycine,*N(c1ccc(C(C)C)cc1)CC(=O)*,
N-(4-methyl)phenylglycine,*N(c1ccc(C)cc1)CC(=O)*,
N-(4-methoxy)phenylglycine,*N(c1ccc(OC)cc1)CC(=O)*,
N-(2-picolyl)glycine,*N(Cc1ncccc1)CC(=O)*,N2pic
N-(1-naphthylmethyl)glycine,*N(Cc1c2ccccc2ccc1)CC(=O)*,
N-(cyclohexyl)methylglycine,*N(CC1CCCCC1)CC(=O)*,Ncy
N-pentylglycine,*N(CCCCC)CC(=O)*,
N-hexylglycine,*N(CCCCCC)CC(=O)*,
Glycine,*NCC(=O)*,Gly
beta-Alanine,*NCCC(=O)*,betaAla
