SMILES,full_nomenclature,monomer_structure,peptoids,short_name,type
*N([C@@H](C)C1CCCCC1)CC(=O)*,(S)-N-(1-cyclohexylethyl)glycine,,{'03AA1-5-A': '/api/peptoids/03AA1-5-A'},Nsch,alpha
*N([C@H](C)C1CCCCC1)CC(=O)*,(R)-N-(1-cyclohexylethyl)glycine,,{},Nrch,alpha
*N([C@@H](C)CC)CC(=O)*,(S)-N-(2-butyl)glycine,,{},Nssb,alpha
*N([C@H](C)CC)CC(=O)*,(R)-N-(2-butyl)glycine,,{},Nrsb,alpha
*N([C@@H](C)c1ccccc1)CC(=O)*,(S)-N-(1-phenylethyl)glycine,,"{'06AA1-9-A': '/api/peptoids/06AA1-9-A', '08AC1-6-C': '/api/peptoids/08AC1-6-C', '11AB1-8-C': '/api/peptoids/11AB1-8-C', '12AC2-9-C': '/api/peptoids/12AC2-9-C', '18AC2-7-A': '/api/peptoids/18AC2-7-A', '19AB1-6-C': '/api/peptoids/19AB1-6-C', '19AB2-4-C': '/api/peptoids/19AB2-4-C', '19AB3-8-C': '/api/peptoids/19AB3-8-C', '19AB4-4-C': '/api/peptoids/19AB4-4-C'}",Nspe,alpha
*N([C@H](C)c1ccccc1)CC(=O)*,(R)-N-(1-phenylethyl)glycine,,{},Nrpe,alpha
*N(Cc1ccccc1)CC(=O)*,N-(phenylmethyl)glycine,,"{'07AA1-6-C': '/api/peptoids/07AA1-6-C', '07AA2-8-C': '/api/peptoids/07AA2-8-C', '12AA2-6-C': '/api/peptoids/12AA2-6-C', '14AA1-4-C': '/api/peptoids/14AA1-4-C', '14AB1-3-C': '/api/peptoids/14AB1-3-C', '14AB2-5-C': '/api/peptoids/14AB2-5-C', '14AB3-4-C': '/api/peptoids/14AB3-4-C', '17AC2-6-C': '/api/peptoids/17AC2-6-C', '17AC3-6-C': '/api/peptoids/17AC3-6-C', '18AB1-3-A': '/api/peptoids/18AB1-3-A', '18AB2-3-A': '/api/peptoids/18AB2-3-A', '18AB3-3-A': '/api/peptoids/18AB3-3-A', '18AC1-3-A': '/api/peptoids/18AC1-3-A', '18AC2-7-A': '/api/peptoids/18AC2-7-A', '19AA1-2-A': '/api/peptoids/19AA1-2-A', '19AB2-4-C': '/api/peptoids/19AB2-4-C', '19AB4-4-C': '/api/peptoids/19AB4-4-C', '20AA1-3-A': '/api/peptoids/20AA1-3-A', '80AA1-3-C': '/api/peptoids/80AA1-3-C', '82AA1-3-C': '/api/peptoids/82AA1-3-C'}",Npm,alpha
*N(CCOC)CC(=O)*,N-(methoxyethyl)glycine,,"{'07AA1-6-C': '/api/peptoids/07AA1-6-C', '07AA2-8-C': '/api/peptoids/07AA2-8-C', '12AB1-8-M': '/api/peptoids/12AB1-8-M', '12AB2-16-M': '/api/peptoids/12AB2-16-M', '13AA1-6-C': '/api/peptoids/13AA1-6-C', '13AA2-6-C': '/api/peptoids/13AA2-6-C', '13AA3-6-C': '/api/peptoids/13AA3-6-C', '13AB1-8-C': '/api/peptoids/13AB1-8-C', '17AA1-6-C': '/api/peptoids/17AA1-6-C', '18AB1-3-A': '/api/peptoids/18AB1-3-A', '18AD1-8-C': '/api/peptoids/18AD1-8-C', '18AE1-6-C': '/api/peptoids/18AE1-6-C'}",Nme,alpha
*N(CCOc1ccccc1)CC(=O)*,N-(benzoxyethyl)glycine,,"{'08AB1-6-C': '/api/peptoids/08AB1-6-C', '08AB2-4-C': '/api/peptoids/08AB2-4-C'}",,alpha
*N(c1ccccc1)CC(=O)*,N-(phenyl)glycine,10.5517/ccw92qy,"{'08AC1-6-C': '/api/peptoids/08AC1-6-C', '08AC2-2-A': '/api/peptoids/08AC2-2-A', '10AA1-3-A': '/api/peptoids/10AA1-3-A', '12AB1-8-M': '/api/peptoids/12AB1-8-M', '12AB2-16-M': '/api/peptoids/12AB2-16-M', '13AB1-8-C': '/api/peptoids/13AB1-8-C', '13AC2-2-A': '/api/peptoids/13AC2-2-A', '13AC3-3-A': '/api/peptoids/13AC3-3-A', '13AC4-4-A': '/api/peptoids/13AC4-4-A', '17AB1-5-A': '/api/peptoids/17AB1-5-A', '17AB2-8-A': '/api/peptoids/17AB2-8-A'}",Nph,alpha
